关键词,变体词,卖家竞争度,橱窗数,16年06月搜索热度,16年05月搜索热度,16年04月搜索热度,16年03月搜索热度,16年02月搜索热度,16年01月搜索热度,15年12月搜索热度,15年11月搜索热度,15年10月搜索热度,15年09月搜索热度,15年08月搜索热度,15年07月搜索热度,P4P关键词,更新时间
acrylic sign holder,,383,28,10000,3000,1200,300,210,180,270,240,150,210,180,210,False,201605
candle holder,,1812,232,6000,6000,7000,7000,6000,6000,6000,6000,6000,4600,3900,3900,False,201605
card holder,,2157,154,2800,2700,3000,1900,2200,1900,2000,2300,2500,2500,2100,2300,False,201605
phone holder,,1973,155,2500,3000,4700,1900,2300,2000,2000,1900,2000,2200,2200,2200,False,201605
key holder,,1273,50,2100,2900,2300,1600,1700,1400,1700,1600,1600,2000,1700,1600,False,201605
car holder,,893,106,2000,2700,6000,2700,2300,1700,1800,1200,1200,1300,1300,1300,False,201605
mobile phone holder,,2687,247,1900,1400,2300,1400,1700,1500,1300,1200,1700,2800,2600,3400,False,201605
car phone holder,,1228,107,1800,2300,3700,2300,960,630,630,510,720,780,870,780,False,201605
passport holder,,590,69,1600,1600,1900,1400,1500,1300,1300,1300,1600,1500,1400,1400,False,201605
glass candle holder,,969,153,1400,1400,1600,1600,1700,1500,1500,1500,1300,1400,1400,1600,False,201605
id card holder,,1189,90,1300,1300,1500,1200,1100,810,1100,1100,1100,1200,1200,1300,True,201605
lamp holder,,755,95,1300,1100,1400,1200,1200,1200,1400,1100,1200,1100,990,900,False,201605
pen holder,,1578,79,1300,1020,1200,960,840,960,1100,900,840,1100,1100,1200,False,201605
nail polish holder,,173,8,1200,420,810,510,90,100,80,120,100,80,80,48,False,201605
cup holder,,1105,41,1100,1020,1100,810,870,2500,930,900,930,930,990,870,False,201605
silicone rubber business card holder,,7,0,1100,21,24,19,13,17,9,23,5,5,11,7,False,201605
magnetic car phone holder,,783,87,1100,900,1200,420,390,360,210,180,210,180,150,150,False,201605
beach cup holder,,74,7,1100,840,480,390,240,100,60,70,70,120,210,210,False,201605
business card holder,,1820,132,1100,900,1100,900,1200,960,1200,1200,930,1200,1200,1200,False,201605
credit card holder,,1040,92,810,720,1100,930,990,840,870,960,930,930,930,870,True,201605
ring holder for mobile phone,,437,32,810,720,660,780,510,480,390,270,300,390,330,300,False,201605
