product_id,product_no,product_owner,keyword,rank_product_position,rank_top1_product_position,rank_top1_product_id,is_ydt_product,is_window_product,is_p4p_keyword,is_selection_prodcut,keyword_company_count,keyword_window_products_count,keyword_pv_rank
60304466653,JDKF15005,Eva Zhu,bag,5.19,5.19,60304466653,TRUE,TRUE,TRUE,FALSE,4446,406,33000
60304466653,JDKF15005,Eva Zhu,women's bag,1.19,1.19,60304466653,TRUE,TRUE,,FALSE,,,
60304466653,JDKF15005,Eva Zhu,women leather bag,1.14,1.14,60304466653,TRUE,TRUE,FALSE,FALSE,542,27,210
1559300801,JDMA15035,Eva Zhu,money belt,,,,TRUE,FALSE,TRUE,FALSE,184,16,270
1559300801,JDMA15035,Eva Zhu,leather money belt,1.06,1.06,1559300801,TRUE,FALSE,FALSE,TRUE,78,0,9
1559300801,JDMA15035,Eva Zhu,fashion money belt,8.23,8.23,1559300801,TRUE,FALSE,,FALSE,,,
60136764005,JDYB14184,Eva Zhu,wallet to import,10.02,1.07,60473371809,TRUE,FALSE,,TRUE,,,
60136764005,JDYB14184,Eva Zhu,import wallet,10.03,1.07,60473371809,TRUE,FALSE,TRUE,TRUE,67,0,20
1956248291,JDYB14140,Eva Zhu,wallet with chain for men,1.03,1.03,1956248291,TRUE,FALSE,,TRUE,,,
1956248291,JDYB14140,Eva Zhu,mens wallet with chain,5.16,1.05,1766349140,TRUE,FALSE,,TRUE,,,
1956248291,JDYB14140,Eva Zhu,wallet with chain,1.08,1.08,1956248291,TRUE,FALSE,,TRUE,,,
1941319642,JDYB14164,Eva Zhu,genuine leather wallet,,1.11,1725585954,TRUE,FALSE,TRUE,FALSE,818,113,510
1941319642,JDYB14164,Eva Zhu,men genuine leather wallet,,1.2,60461447412,TRUE,FALSE,TRUE,FALSE,204,8,80
1941319642,JDYB14164,Eva Zhu,mens wallet leather genuine,,1.13,60146443926,TRUE,FALSE,,FALSE,,,
1925682102,JDYB14034,Eva Zhu,custom wallet,19.02,1.1,60259503359,TRUE,FALSE,TRUE,FALSE,407,5,120
1925682102,JDYB14034,Eva Zhu,custom leather wallet,17.03,1.1,60259503359,TRUE,FALSE,TRUE,FALSE,296,3,48
1925682102,JDYB14034,Eva Zhu,custom made wallet,1.09,1.09,1925682102,TRUE,FALSE,TRUE,FALSE,227,2,16
1766349140,JDYB14139,Eva Zhu,wallet chain,1.08,1.08,1766349140,TRUE,FALSE,FALSE,TRUE,84,0,60
1766349140,JDYB14139,Eva Zhu,skull wallet chain,1.02,1.02,1766349140,TRUE,FALSE,,TRUE,,,
1734121061,JDYB14182,Eva Zhu,wallet leather,,1.11,60371324029,TRUE,FALSE,TRUE,FALSE,418,27,180
1734121061,JDYB14182,Eva Zhu,leather wallet manufacturer,1.1,1.1,1734121061,TRUE,FALSE,TRUE,FALSE,246,5,180
1734121061,JDYB14182,Eva Zhu,men wallet leather,,1.11,60371324029,TRUE,FALSE,,FALSE,,,
1956417083,JDYB14147,Eva Zhu,men's wallet,,1.11,60259503359,TRUE,FALSE,,FALSE,,,
1956417083,JDYB14147,Eva Zhu,leather mens wallet,,1.11,60259503359,TRUE,FALSE,,FALSE,,,
1956417083,JDYB14147,Eva Zhu,best mens wallet,1.2,1.2,1956417083,TRUE,FALSE,,FALSE,,,
60141997901,JDYB14064,Eva Zhu,woman wallet,,1.17,60068979716,FALSE,FALSE,FALSE,FALSE,936,101,2500
60141997901,JDYB14064,Eva Zhu,wholesale woman wallet,1.22,1.22,60141997901,FALSE,FALSE,,FALSE,,,
60141997901,JDYB14064,Eva Zhu,fashion woman wallet,,1.19,60455615492,FALSE,FALSE,,FALSE,,,
60068979716,JDYB15001,Eva Zhu,women wallet 2015,1.1,1.1,60068979716,TRUE,FALSE,,FALSE,,,
60068979716,JDYB15001,Eva Zhu,brand names women wallet,1.09,1.09,60068979716,TRUE,FALSE,FALSE,FALSE,83,1,29
60390846970,JDMA15041,Amy Wei,honest leather belt,1.06,1.06,60390846970,TRUE,FALSE,FALSE,TRUE,57,2,21
60390846970,JDMA15041,Amy Wei,leather belt no buckle,1.06,1.06,60390846970,TRUE,FALSE,,TRUE,,,
60372889240,JDHB15011,Amy Wei,ladies purse,,1.12,60369800258,FALSE,FALSE,FALSE,FALSE,841,55,1400
60372889240,JDHB15011,Amy Wei,designer purse,,1.21,60366575316,FALSE,FALSE,FALSE,FALSE,260,4,180
60372889240,JDHB15011,Amy Wei,fashion purse,,1.23,60455615492,FALSE,FALSE,FALSE,FALSE,382,1,32
60374186858,JDHB15019,Amy Wei,handbag factories in china,1.16,1.16,60374186858,TRUE,FALSE,,FALSE,,,
60374186858,JDHB15019,Amy Wei,handbag factory,,1.11,60367995587,TRUE,FALSE,FALSE,FALSE,205,5,60
60374487791,JDHB15014,Amy Wei,handbag manufacturer,,1.25,60376978223,FALSE,FALSE,FALSE,FALSE,347,6,60
60374487791,JDHB15014,Amy Wei,china handbag manufacturer,,3.37,60367995587,FALSE,FALSE,FALSE,FALSE,200,3,70
60373442378,JDHB15027,Amy Wei,genuine leather handbag wholesale,1.16,1.16,60373442378,FALSE,FALSE,FALSE,FALSE,142,2,38
60373442378,JDHB15027,Amy Wei,handbag wholesalers hong kong,1.04,1.04,60373442378,FALSE,FALSE,FALSE,TRUE,58,0,80
60373986047,JDHB15017-2,Amy Wei,guangzhou handbag factory,1.15,1.15,60373986047,TRUE,FALSE,FALSE,FALSE,188,6,180
60373986047,JDHB15017-2,Amy Wei,china handbag factory,,1.13,60451032190,TRUE,FALSE,,FALSE,,,
60373942746,JDHB15018,Amy Wei,china handbag,,1.22,60451032190,FALSE,FALSE,TRUE,FALSE,276,2,46
60373942746,JDHB15018,Amy Wei,black handbag,,1.11,60457095414,FALSE,FALSE,FALSE,FALSE,248,2,48
60373942746,JDHB15018,Amy Wei,shoulder handbag,,1.2,60408320756,FALSE,FALSE,TRUE,FALSE,451,14,70
60383508403,JDHB15052,Amy Wei,handbag tote bag,1.33,1.33,60383508403,FALSE,FALSE,FALSE,FALSE,397,21,48
60383508403,JDHB15052,Amy Wei,leather tote bag,1.26,1.26,60383508403,FALSE,FALSE,FALSE,FALSE,603,44,330
